Plant_Name,PrimSource,Total_MW,latitude,longitude
Laverne Diesel Generating Plant,petroleum,4.00000000000,36.71060000000,-99.89060000000
Quail Run Energy Center,natural gas,472.20000000000,31.84140000000,-102.31500000000
Colorado Bend Energy Center,natural gas,468.00000000000,29.28780000000,-96.06830000000
Spearville,wind,148.50000000000,37.86410000000,-99.75280000000
Whispering Willow Wind Farm - East,wind,199.70000000000,42.63051300000,-93.20638900000
Clearwater Power Plant,natural gas,28.00000000000,33.89120000000,-117.60850000000
FPL Energy Burleigh County Wind,wind,49.50000000000,47.11670000000,-100.73330000000
Western Renewable Energy,biomass,2.50000000000,34.09300600000,-109.28997900000
Klondike Windpower II,wind,75.00000000000,45.57100000000,-120.59300000000
Leaning Juniper,wind,100.50000000000,45.65245700000,-120.20978300000
Big Horn Wind Project,wind,199.00000000000,45.88770000000,-120.28960000000
Shiloh I Wind Project,wind,150.00000000000,38.12000000000,-121.85000000000
Danville New Design Plant,petroleum,1.20000000000,36.63080000000,-79.38940000000
Danville Kentuck Road Plant,petroleum,1.20000000000,36.65330000000,-79.29060000000
Danville Westover Plant,petroleum,1.20000000000,36.61140000000,-79.46310000000
Electric Avenue Facility,petroleum,5.40000000000,38.28000000000,-77.59000000000
Water Treatment Plant Generators,petroleum,1.70000000000,38.76069500000,-77.62089000000
Casselman Wind Power Project,wind,34.50000000000,39.85000000000,-79.13800000000
Cedar Creek Wind,wind,300.00000000000,40.89440000000,-104.02060000000
Sweetwater Wind 5,wind,80.50000000000,32.23694400000,-100.48330000000
Robert Mueller Energy Center,natural gas,5.20000000000,30.30499400000,-97.70767500000
Pike County Wind Power,wind,1.70000000000,39.61890000000,-90.84610000000
Judith Gap Wind Energy Center,wind,135.00000000000,46.57250000000,-109.75310000000
